"","lon","lat"
"1",-122.566758,47.838965
"2",-122.566755,47.839311
"3",-122.566931,47.839798
"4",-122.56713,47.840208
"5",-122.56735,47.840749
"6",-122.567369,47.84119
"7",-122.567277,47.841617
"8",-122.567386,47.841734
"9",-122.567585,47.842095
"10",-122.56801,47.842326
"11",-122.568322,47.842655
"12",-122.568476,47.84293
"13",-122.568474,47.843245
"14",-122.56838,47.843713
"15",-122.568173,47.844198
"16",-122.568199,47.844436
"17",-122.568236,47.844801
"18",-122.568591,47.84536
"19",-122.568922,47.846059
"20",-122.568922,47.846072
"21",-122.56896,47.846693
"22",-122.569429,47.847194
"23",-122.569892,47.848086
"24",-122.570045,47.848307
"25",-122.570469,47.848921
"26",-122.57049,47.849083
"27",-122.570486,47.849555
"28",-122.570618,47.849871
"29",-122.570638,47.85019
"30",-122.570611,47.850716
"31",-122.570876,47.851203
"32",-122.570918,47.851563
"33",-122.571071,47.852018
"34",-122.571294,47.852321
"35",-122.571825,47.853182
"36",-122.572292,47.853606
"37",-122.572805,47.854063
"38",-122.573231,47.854154
"39",-122.573791,47.854309
"40",-122.574486,47.854343
"41",-122.575451,47.854374
"42",-122.575764,47.854528
"43",-122.576009,47.854772
"44",-122.576028,47.855118
"45",-122.575975,47.855175
"46",-122.575825,47.855342
"47",-122.575351,47.855552
"48",-122.574809,47.856018
"49",-122.574356,47.856547
"50",-122.574295,47.856636
"51",-122.573924,47.85718
"52",-122.573719,47.85757
"53",-122.573581,47.857979
"54",-122.573396,47.858568
"55",-122.573364,47.859895
"56",-122.573354,47.86115
"57",-122.573369,47.861897
"58",-122.573346,47.862027
"59",-122.573164,47.862404
"60",-122.572824,47.862718
"61",-122.572727,47.863577
"62",-122.57272,47.864409
"63",-122.572874,47.864774
"64",-122.572918,47.864941
"65",-122.572916,47.865224
"66",-122.572844,47.865665
"67",-122.572615,47.866298
"68",-122.572499,47.866779
"69",-122.572358,47.867476
"70",-122.572295,47.867721
"71",-122.57065,47.86775
"72",-122.562923,47.867708
"73",-122.561259,47.867711
"74",-122.553936,47.867708
"75",-122.552069,47.867708
"76",-122.552313,47.864492
"77",-122.552252,47.86282
"78",-122.552284,47.862379
"79",-122.552372,47.862378
"80",-122.552374,47.862202
"81",-122.552377,47.861999
"82",-122.552415,47.860671
"83",-122.552525,47.856727
"84",-122.553536,47.856703
"85",-122.55391,47.856706
"86",-122.557758,47.856732
"87",-122.557833,47.855372
"88",-122.557952,47.853181
"89",-122.552733,47.85316
"90",-122.55252,47.845892
"91",-122.552413,47.842273
"92",-122.547131,47.842186
"93",-122.547125,47.84584
"94",-122.545347,47.845855
"95",-122.54137,47.845869
"96",-122.541394,47.844225
"97",-122.541428,47.842017
"98",-122.541416,47.841995
"99",-122.541435,47.841375
"100",-122.541483,47.839755
"101",-122.541482,47.839435
"102",-122.541481,47.83876
"103",-122.542596,47.838758
"104",-122.550302,47.838793
"105",-122.554895,47.838808
"106",-122.555141,47.838809
"107",-122.55584,47.838801
"108",-122.555988,47.838799
"109",-122.56018,47.838813
"110",-122.561607,47.838828
"111",-122.562439,47.838842
"112",-122.562615,47.838864
"113",-122.564254,47.838769
"114",-122.566923,47.838737
"115",-122.566758,47.838965
