"","lon","lat"
"1",-123.186298,47.315718
"2",-123.186285,47.315795
"3",-123.186273,47.315869
"4",-123.186247,47.316025
"5",-123.186235,47.316103
"6",-123.186213,47.316715
"7",-123.186151,47.318554
"8",-123.186131,47.319167
"9",-123.186131,47.319231
"10",-123.186134,47.319426
"11",-123.186135,47.319491
"12",-123.186145,47.3202
"13",-123.186177,47.322327
"14",-123.186188,47.323037
"15",-123.186189,47.323109
"16",-123.186192,47.323329
"17",-123.186194,47.323402
"18",-123.186197,47.323663
"19",-123.186209,47.324447
"20",-123.186213,47.324709
"21",-123.186215,47.324881
"22",-123.186224,47.325398
"23",-123.186227,47.325571
"24",-123.186232,47.325914
"25",-123.186247,47.326946
"26",-123.186253,47.32729
"27",-123.186258,47.327612
"28",-123.186273,47.328579
"29",-123.186278,47.328902
"30",-123.18628,47.329106
"31",-123.186287,47.32972
"32",-123.18629,47.329925
"33",-123.186291,47.330054
"34",-123.186296,47.330441
"35",-123.186298,47.330571
"36",-123.186311,47.33169
"37",-123.186353,47.335049
"38",-123.186367,47.336169
"39",-123.186369,47.336318
"40",-123.186375,47.336765
"41",-123.186377,47.336914
"42",-123.186387,47.337719
"43",-123.186418,47.340136
"44",-123.186429,47.340942
"45",-123.186443,47.34136
"46",-123.186485,47.342615
"47",-123.1865,47.343034
"48",-123.186498,47.343624
"49",-123.186494,47.345397
"50",-123.186493,47.345988
"51",-123.186526,47.348647
"52",-123.186625,47.356625
"53",-123.186659,47.359285
"54",-123.18655,47.359285
"55",-123.186226,47.359286
"56",-123.186118,47.359287
"57",-123.184888,47.359293
"58",-123.181201,47.359313
"59",-123.179972,47.35932
"60",-123.17745,47.359334
"61",-123.170185,47.359375
"62",-123.169885,47.359377
"63",-123.16885,47.359383
"64",-123.168953,47.360865
"65",-123.168989,47.361418
"66",-123.169098,47.363077
"67",-123.169135,47.363631
"68",-123.169161,47.364014
"69",-123.169242,47.365166
"70",-123.169269,47.36555
"71",-123.169336,47.366496
"72",-123.169349,47.366677
"73",-123.168552,47.366692
"74",-123.168479,47.366694
"75",-123.164785,47.366768
"76",-123.163609,47.366792
"77",-123.163691,47.367623
"78",-123.163882,47.369541
"79",-123.163919,47.369902
"80",-123.16403,47.370965
"81",-123.164032,47.370988
"82",-123.164041,47.37107
"83",-123.164053,47.371187
"84",-123.16407,47.371351
"85",-123.164312,47.373629
"86",-123.164339,47.373889
"87",-123.164416,47.374598
"88",-123.158516,47.374603
"89",-123.156225,47.374606
"90",-123.155834,47.374603
"91",-123.154663,47.374595
"92",-123.154273,47.374593
"93",-123.153515,47.374586
"94",-123.151243,47.374567
"95",-123.150486,47.374561
"96",-123.150379,47.374564
"97",-123.15006,47.374575
"98",-123.149954,47.37458
"99",-123.150041,47.374557
"100",-123.15025,47.374455
"101",-123.150323,47.37442
"102",-123.150453,47.374272
"103",-123.150533,47.374157
"104",-123.150606,47.373844
"105",-123.150616,47.373813
"106",-123.150679,47.373619
"107",-123.150784,47.373427
"108",-123.15097,47.37329
"109",-123.150994,47.373276
"110",-123.151455,47.373033
"111",-123.152262,47.372682
"112",-123.153409,47.372293
"113",-123.153821,47.372167
"114",-123.154895,47.372118
"115",-123.155032,47.372112
"116",-123.155307,47.372068
"117",-123.155727,47.371959
"118",-123.156216,47.371773
"119",-123.156349,47.371723
"120",-123.156729,47.371553
"121",-123.157407,47.371252
"122",-123.157851,47.371076
"123",-123.157908,47.370983
"124",-123.158037,47.370698
"125",-123.158055,47.370668
"126",-123.158279,47.370309
"127",-123.158387,47.370228
